gvkey,fyear,revenue_mm,company_name
001117,2020,44.139,BK Technologies Corp
001117,2021,45.364,BK Technologies Corp
001117,2022,50.951,BK Technologies Corp
001117,2023,74.094,BK Technologies Corp
001117,2024,76.592,BK Technologies Corp
001117,2025,86.139,BK Technologies Corp
001161,2020,9763.0,Advanced Micro Devices Inc
001161,2021,16434.0,Advanced Micro Devices Inc
001161,2022,23601.0,Advanced Micro Devices Inc
001161,2023,22680.0,Advanced Micro Devices Inc
001161,2024,25785.0,Advanced Micro Devices Inc
001161,2025,34639.0,Advanced Micro Devices Inc
001166,2020,1600.9,ASM International NV
001166,2021,1967.472,ASM International NV
001166,2022,2576.66,ASM International NV
001166,2023,2911.846,ASM International NV
001166,2024,3036.286,ASM International NV
001166,2025,3725.735,ASM International NV
001327,2020,3355.7,Skyworks Solutions Inc
001327,2021,5109.1,Skyworks Solutions Inc
001327,2022,5485.5,Skyworks Solutions Inc
001327,2023,4772.4,Skyworks Solutions Inc
001327,2024,4178.0,Skyworks Solutions Inc
001327,2025,4086.9,Skyworks Solutions Inc
001562,2020,111.408,Logility Supply Chain Solutions Inc
001562,2021,127.553,Logility Supply Chain Solutions Inc
001562,2022,123.659,Logility Supply Chain Solutions Inc
001562,2023,102.515,Logility Supply Chain Solutions Inc
001632,2020,5603.056,Analog Devices Inc
001632,2021,7318.286,Analog Devices Inc
001632,2022,12013.953,Analog Devices Inc
001632,2023,12305.539,Analog Devices Inc
001632,2024,9427.157,Analog Devices Inc
001632,2025,11019.707,Analog Devices Inc
001650,2020,1.355,Andrea Electronics Corp
001650,2021,1.663,Andrea Electronics Corp
001650,2022,1.962,Andrea Electronics Corp
001690,2020,274515.0,Apple Inc
001690,2021,365817.0,Apple Inc
001690,2022,394328.0,Apple Inc
001690,2023,383285.0,Apple Inc
001690,2024,391035.0,Apple Inc
001690,2025,416161.0,Apple Inc
001704,2020,17202.0,Applied Materials Inc
001704,2021,23063.0,Applied Materials Inc
001704,2022,25785.0,Applied Materials Inc
001704,2023,26517.0,Applied Materials Inc
001704,2024,27176.0,Applied Materials Inc
001704,2025,28368.0,Applied Materials Inc
001773,2020,28673.363,Arrow Electronics Inc
001773,2021,34477.018,Arrow Electronics Inc
001773,2022,37124.422,Arrow Electronics Inc
001773,2023,33107.12,Arrow Electronics Inc
001773,2024,27923.324,Arrow Electronics Inc
001773,2025,30852.935,Arrow Electronics Inc
001820,2020,116.033,AstroNova Inc
001820,2021,117.48,AstroNova Inc
001820,2022,142.527,AstroNova Inc
001820,2023,148.086,AstroNova Inc
001820,2024,151.283,AstroNova Inc
001820,2025,150.515,AstroNova Inc
001878,2020,3790.4,Autodesk Inc
001878,2021,4386.4,Autodesk Inc
001878,2022,5005.0,Autodesk Inc
001878,2023,5497.0,Autodesk Inc
001878,2024,6131.0,Autodesk Inc
001878,2025,7206.0,Autodesk Inc
001919,2020,17634.333,Avnet Inc
001919,2021,19534.679,Avnet Inc
001919,2022,24310.708,Avnet Inc
001919,2023,26536.881,Avnet Inc
001919,2024,23757.129,Avnet Inc
001919,2025,22200.754,Avnet Inc
001968,2020,425.544,Badger Meter Inc.
001968,2021,505.198,Badger Meter Inc.
001968,2022,565.568,Badger Meter Inc.
001968,2023,703.592,Badger Meter Inc.
001968,2024,826.558,Badger Meter Inc.
001968,2025,916.663,Badger Meter Inc.
002124,2020,465.771,Bel Fuse Inc.
002124,2021,543.494,Bel Fuse Inc.
002124,2022,654.233,Bel Fuse Inc.
002124,2023,639.813,Bel Fuse Inc.
002124,2024,534.792,Bel Fuse Inc.
002124,2025,675.455,Bel Fuse Inc.
002504,2020,2025.3,Unisys Corp
002504,2021,2054.4,Unisys Corp
002504,2022,1979.9,Unisys Corp
002504,2023,2015.4,Unisys Corp
002504,2024,2008.4,Unisys Corp
002504,2025,1950.1,Unisys Corp
002536,2020,443.026,Liveramp Holdings Inc
002536,2021,528.657,Liveramp Holdings Inc
002536,2022,596.583,Liveramp Holdings Inc
002536,2023,659.661,Liveramp Holdings Inc
002536,2024,745.58,Liveramp Holdings Inc
002573,2020,61.793,CSP Inc
002573,2021,49.208,CSP Inc
002573,2022,54.361,CSP Inc
002573,2023,64.647,CSP Inc
002573,2024,55.219,CSP Inc
002573,2025,58.73,CSP Inc
002577,2020,424.066,CTS Corp
002577,2021,512.925,CTS Corp
002577,2022,586.869,CTS Corp
002577,2023,550.422,CTS Corp
002577,2024,515.771,CTS Corp
002577,2025,541.318,CTS Corp
002578,2020,179.917,Telos Corp
002578,2021,242.433,Telos Corp
002578,2022,216.887,Telos Corp
002578,2023,145.378,Telos Corp
002578,2024,108.272,Telos Corp
002578,2025,164.805,Telos Corp
002581,2020,16.92,CVD Equipment Corp
002581,2021,16.447,CVD Equipment Corp
002581,2022,25.813,CVD Equipment Corp
002581,2023,24.109,CVD Equipment Corp
002581,2024,26.876,CVD Equipment Corp
002581,2025,25.786,CVD Equipment Corp
002615,2020,308.587,CalAmp Corp
002615,2021,295.839,CalAmp Corp
002615,2022,294.949,CalAmp Corp
002721,2020,30279.869,Canon Inc
002721,2021,30515.227,Canon Inc
002721,2022,30570.616,Canon Inc
002721,2023,29661.321,Canon Inc
002721,2024,28684.22,Canon Inc
002829,2020,43.044,RF Industries Ltd
002829,2021,57.424,RF Industries Ltd
002829,2022,85.254,RF Industries Ltd
002829,2023,72.168,RF Industries Ltd
002829,2024,64.857,RF Industries Ltd
002829,2025,80.586,RF Industries Ltd
003157,2020,1228.999,Coherent Inc
003157,2021,1487.468,Coherent Inc
003158,2020,636.007,Cohu Inc
003158,2021,887.214,Cohu Inc
003158,2022,812.775,Cohu Inc
003158,2023,636.322,Cohu Inc
003158,2024,401.779,Cohu Inc
003158,2025,452.956,Cohu Inc
003275,2020,42.576,Communications Systems Inc.
003275,2021,7.01,Communications Systems Inc.
003336,2020,17729.0,DXC Technology Co
003336,2021,16265.0,DXC Technology Co
003336,2022,14430.0,DXC Technology Co
003336,2023,13667.0,DXC Technology Co
003336,2024,12871.0,DXC Technology Co
003342,2020,366.091,Computer Task Group Inc
003342,2021,392.285,Computer Task Group Inc
003342,2022,325.08,Computer Task Group Inc
003358,2020,616.715,Comtech Telecommunications Corp.
003358,2021,581.695,Comtech Telecommunications Corp.
003358,2022,486.239,Comtech Telecommunications Corp.
003358,2023,549.994,Comtech Telecommunications Corp.
003358,2024,540.403,Comtech Telecommunications Corp.
003358,2025,499.528,Comtech Telecommunications Corp.
003532,2020,11408.0,Corning Inc
003532,2021,14082.0,Corning Inc
003532,2022,14189.0,Corning Inc
003532,2023,12588.0,Corning Inc
003532,2024,13167.0,Corning Inc
003532,2025,15629.0,Corning Inc
003761,2020,20.328,Data I/O Corp
003761,2021,25.835,Data I/O Corp
003761,2022,24.217,Data I/O Corp
003761,2023,28.064,Data I/O Corp
003761,2024,21.769,Data I/O Corp
003761,2025,21.5,Data I/O Corp
003946,2020,3902.3,Diebold Nixdorf Inc
003946,2021,3905.2,Diebold Nixdorf Inc
003946,2022,3460.7,Diebold Nixdorf Inc
003946,2023,3752.0,Diebold Nixdorf Inc
003946,2024,3752.8,Diebold Nixdorf Inc
003946,2025,3805.7,Diebold Nixdorf Inc
003962,2020,104.106,Nortech Systems Inc
003962,2021,115.168,Nortech Systems Inc
003962,2022,134.123,Nortech Systems Inc
003962,2023,139.332,Nortech Systems Inc
003962,2024,128.133,Nortech Systems Inc
003962,2025,118.365,Nortech Systems Inc
003969,2020,1229.215,Diodes Inc
003969,2021,1805.162,Diodes Inc
003969,2022,2000.58,Diodes Inc
003969,2023,1661.739,Diodes Inc
003969,2024,1311.12,Diodes Inc
003969,2025,1482.073,Diodes Inc
